medicine_name,price,quantity,availability
Nblox 500mg Tablet,139,126,available
Lobac 10mg Tablet,270,156,available
Cerclav 500 mg/125 mg Tablet,339,169,available
Zobit 200mg Tablet,71,76,available
Macglobin-Gold Injection,82,225,available
Rylox-OZ Tablet,126,257,available
Rosufit CV 20 Capsule,60,126,available
Rotaceclo P 100mg/325mg Tablet,247,129,available
Toub-AZ 250 Tablet,31,99,available
Dikvin S 50mg/325mg/15mg Tablet,155,290,available
Luliday 1% Cream,52,165,available
Nervibine Capsule,54,237,available
Sulnix 1000mg/500mg Injection,361,179,available
Etrorab L 75mg/20mg Capsule SR,463,81,available
Metoprime 25mg Tablet XL,405,61,available
Duloxmine 40mg Tablet,459,96,available
Silotime 4 Tablet,150,144,available
Novabact 250 mg/250 mg Capsule,93,97,available
Drosil Asp 100mg/325mg/15mg Tablet,100,217,available
Derivent Syrup,195,127,available
Etorlet 120mg Tablet,273,29,limited
Hizet 25mg Tablet,297,138,available
Femic P Oral Suspension,275,167,available
Cifran 200mg Infusion,373,230,available
Bacter 200mg Tablet,23,283,available
Gemislan 1000mg Injection,354,5,limited
Otova-F Eye/Ear Drop,290,224,available
Geoderm G Cream,405,268,available
Itralix 200mg Capsule,79,174,available
Victrodem 50mg Dry Syrup,332,24,limited
Vincolyte Syrup,13,218,available
Max-D3 60K Soft Gelatin Capsule,327,236,available
Chilmic AZ 500mg Tablet,312,294,available
Clomipax 50mg Tablet,54,140,available
Flagpod-CV Dry Syrup,83,265,available
Arive 15mg Tablet,158,66,available
Anzocef 1000mg Injection,74,117,available
Wowmik 100mg Injection,254,268,available
Parokrit 25 ER Tablet,434,11,limited
Oxyfolate Soft Gelatin Capsule,490,123,available
Lavixime LB 200mg Tablet,60,43,available
Octiflox 200mg Tablet,323,136,available
Olvance 40 Tablet,481,160,available
Endoxim 200mg Tablet,385,122,available
Ompy Mps Syrup,364,178,available
Losatrust 50 Tablet,70,126,available
Naxic-E Tablet,452,19,limited
Zencef Plus 250mg/125mg Injection,478,197,available
Phenokrit 100 Tablet,334,77,available
Jonacet-M 5mg/10mg Tablet,345,52,available
Abcof D Syrup,400,64,available
Zerotosa-P Tablet,364,54,available
Lorempar 75mg Injection,323,76,available
Greenor Solution for Infusion,152,188,available
Depain-SR Tablet,167,286,available
Sundoxim 1000 Injection,132,292,available
Levomic M 2.5mg/4mg Tablet,304,123,available
Alkalin Syrup,301,281,available
Itroobase 100mg Capsule,466,197,available
Ovoflox 200mg Tablet,62,103,available
Minfin F 5% Lotion,40,13,limited
Astepod-CV 325 Tablet,327,202,available
Ketmento-ZP Shampoo,188,297,available
Priminor N 5mg Tablet,15,229,available
Ranocare 1000mg Tablet ER,115,291,available
Ozim 5mg Tablet,419,286,available
Romithrax 150mg Tablet,203,112,available
Prizal Capsule,368,139,available
Gremig 10mg Tablet,136,123,available
Bisomax AM 2.5mg/2.5mg Tablet,208,14,limited
Gatsun Eye Drop,344,34,available
Atavir 300mg Capsule,311,219,available
Amivel 100 Injection,341,59,available
Olicom-AM Tablet,253,67,available
Aam SD 1000mg Tablet,437,67,available
Montienna L Tablet,285,19,limited
Gestavac 5mg Tablet,99,299,available
Eldonac P 100mg/325mg Tablet,174,191,available
Losacura H 50mg/12.5mg Tablet,202,261,available
Taloswift 10mg Tablet,475,182,available
Brefix CV 200mg/125mg Tablet,480,19,limited
Ceftzer 500mg Injection,243,17,limited
Nakuf LS+ SF Expectorant Cherry Sugar Free,371,76,available
Ivdik 12mg Tablet,498,253,available
Gesipara-SP Tablet,111,71,available
Adnil 2.5mg Tablet,376,49,available
TICEPH 125MG DRY SYRUP,133,124,available
Acesic-T4 Tablet,164,169,available
Halicon 0.5 mg/10 mg Tablet,46,93,available
Mecan 7.5 Tablet,171,187,available
Ariflox OZ Suspension,89,100,available
Osteowell Plus Tablet,461,246,available
Cilidin O 20mg/10mg Tablet,169,187,available
Suparab-DSR Capsule,164,134,available
Kriticef S 250mg/125mg Injection,221,283,available
Xynosure Gel,92,52,available
Onweb 2mg Oral Drops,302,292,available
Syzur PR 150 Tablet,161,274,available
Bactilem 750mg Injection,12,125,available
Vogli Rapid 0.5mg/0.2mg Tablet,244,117,available
Kokkos Clav 500 mg/125 mg Tablet,372,191,available
Bio-CP Tablet,36,123,available
Labgest 100mg Capsule,436,98,available
Dicnil-SP Tablet,397,12,limited
Mahacip TZ 500 mg/600 mg Tablet,236,259,available
Udcyug 300 Tablet,407,179,available
Terol LA 2 Capsule ER,77,245,available
Lanspee 30mg Capsule,86,1,limited
Moxet CL 500mg/125mg Tablet,314,204,available
DOXOVENT M 400MG/10MG TABLET,15,261,available
Folidox 10mg/10mg/2.5mg Tablet,23,187,available
Depicor 5mg Tablet,275,189,available
Atorvan F 10mg/160mg Tablet,51,130,available
Rivatane 2.5mg Tablet,304,291,available
Zefu 125mg Tablet DT,264,126,available
Telmigraf MT 40 mg/25 mg Tablet,347,246,available
Metanuron-PGN Tablet,465,22,limited
Abonic 25mg Injection,111,267,available
Woppi D 10mg/40mg Tablet,484,223,available
Etsure 0.5mg Tablet,474,288,available
Isozole- DSR Capsule,454,247,available
Ethniq 1% Cream,218,210,available
Shanferon 5MIU Injection,228,111,available
Conaflu 150mg Tablet,293,81,available
Taurgat 400mg Tablet,347,83,available
Allercof 5mg/5mg/325mg Tablet,470,159,available
Plecox 90 Tablet,126,295,available
Bify 16mg Tablet,12,284,available
Jetrab IT 20mg/150mg Tablet,267,133,available
Thelmin 400mg Tablet,157,177,available
Rpdone 1mg Tablet,170,164,available
Olarc 2.5mg Tablet,432,36,available
Parona Plus 12.5mg/0.5mg Tablet CR,248,247,available
Emcloz 0.25mg Tablet,495,154,available
Linpride MF 1 Tablet,162,149,available
Siclo Sera 100mg/325mg/10mg Tablet,390,150,available
Vogtab 0.3 Tablet MD,380,219,available
Euride M 1mg/500mg Tablet,386,280,available
Waga-Z 200mg/500mg Tablet,20,115,available
Tamsumo-D Tablet MR,458,243,available
Nircip TZ Tablet,228,78,available
Potby 40mg Tablet,101,252,available
Endolip 40mg Tablet,133,27,limited
Dexocit 5mg Tablet,155,14,limited
Clomazole Mouth Wash,38,33,available
Carbacontin 400mg Tablet,404,43,available
Kesroclof SP 100mg/325mg/15mg Tablet,300,10,limited
Dikof-C Syrup,317,183,available
Rowezy 250mg Tablet,466,201,available
Mgrox 150mg Tablet,266,65,available
Nexclor 6.25mg Tablet,340,144,available
Nextrip 10mg Tablet,93,172,available
Brehike 5mg/10mg Tablet,76,48,available
Beecef S 250mg/125mg Injection,245,128,available
Flutrox 200mg Capsule,78,96,available
Nugliptin 50 Tablet,197,231,available
Pregatrust M 1500mcg/75mg Tablet SR,425,291,available
Fexoraj-M Tablet,86,39,available
Gefires 250mg Tablet,396,10,limited
Rivasun 6mg Capsule,414,104,available
Bandy-Plus 12 Tablet,117,239,available
Tol 150mg Tablet,250,200,available
Baz 1000mg Injection,357,298,available
Dovia 30 Tablet,45,146,available
Reviro 300mg Tablet,122,262,available
Dezrol La 4mg Capsule ER,370,155,available
Rossmet G 2mg/500mg Tablet SR,43,90,available
SzHH Cream,428,223,available
Mesacol Tablet DR,361,88,available
Vamlo 2.5mg Tablet,290,254,available
Predni Eye Drop,58,249,available
Kaslonim P 100mg/325mg Tablet,92,268,available
Pantonix-D Tablet,482,105,available
Epizilam 50mg Tablet,329,15,limited
Medkin AD Shampoo,288,27,limited
Hilmox 250mg Capsule,118,4,limited
Cipnes TZ 500mg/600mg Tablet,332,79,available
Reltracet 37.5mg/325mg Tablet,62,195,available
Invog GM 2mg/500mg/0.2mg Tablet,30,20,limited
Ovidone Ointment,474,193,available
Actpar 100mg/500mg Tablet,373,57,available
Telmiride LN 10mg/40mg Tablet,274,80,available
Gabbies DMR Syrup,443,109,available
Rabefax 20mg Injection,63,82,available
Purocef-CV Tablet,93,228,available
Lide 200mg Tablet,149,281,available
Cunatone 100mg Soft Gelatin Capsule,494,166,available
Revachlor 200mg Tablet,109,69,available
Ilabus 10mg Tablet,213,69,available
Flosef Eye Drop,170,273,available
Naxiflox 200mg Tablet,222,8,limited
Cefdix O 200mg/200mg Tablet,262,5,limited
Sodarise 1000mg Tablet,344,34,available
Feni 100mg Tablet,358,183,available
Mycofast S 360mg Tablet,477,83,available
Moxylac D 250mg/250mg Capsule,358,52,available
Ciplar 40 Tablet,200,286,available
DE Mol MR 250mg/50mg/325mg Tablet,62,88,available
Itranov 100mg Capsule,485,80,available
Cenitra 100 Capsule,474,157,available
Aptacef S 500mg/250mg Injection,190,192,available
Q-Mind 100 Tablet,499,198,available
Mox Drops Redimix,96,147,available
ND Fix 200mg Tablet,360,232,available
Ransod Forte 4mg/2mg Tablet MD,487,90,available
Steadpan-DSR Capsule,49,150,available
Axizox 1mg Tablet,359,6,limited
Bexodin 120mg Tablet,352,141,available
Flucocel 200mg Tablet,73,234,available
Acmeglim-MV 2 Tablet SR,330,9,limited
Myforce 50mg Tablet,301,249,available
Estalonix 10mg Tablet,271,90,available
Opramed 20mg Capsule,284,233,available
Vominot O 2mg Syrup,193,105,available
Honygra 50mg Tablet,87,233,available
Synostat MF 500 mg/250 mg Tablet,267,269,available
Sucroject Injection,61,22,limited
Geminor M 3 Forte Tablet PR,129,118,available
Ogister Injection,425,63,available
Rapid 200mg Tablet,412,234,available
Domicef 1000mg Injection,317,81,available
Apart 150mg Injection,268,105,available
Tenctin 20mg Tablet,67,250,available
Ideflox O 200mg/500mg Tablet,391,48,available
Ipratz 4000 mg/500 mg Injection,45,186,available
Clomicare 25 Tablet,348,258,available
Janusil-O Oral Suspension Sugar Free,70,87,available
Amsef S 500mg/250mg Injection,19,159,available
Ozifin 1mg Tablet,407,119,available
Entaliv 0.5 Tablet,275,180,available
Gudstat 40mg Tablet,232,194,available
Bill Cef SB 250mg/125mg Injection,24,94,available
Itcuna 200mg Capsule,248,95,available
Mintop Forte 5% Solution,119,38,available
Omlan D 10mg/20mg Capsule SR,233,20,limited
Coldnix DS Syrup,124,55,available
Endoglim M 1mg/1000mg Tablet,74,278,available
Atpase 20mg Capsule,305,137,available
Frutone Tablet,372,251,available
Atormaxx 40mg Tablet,135,72,available
Iroclav Dry Syrup,185,175,available
Xplocef 2000 mg/1000 mg Injection,38,214,available
Ondamac 4mg Tablet MD,303,97,available
Moxired CL 500mg/125mg Tablet,244,210,available
Welpar 1000mg Infusion,427,195,available
Leegra 180mg Tablet,207,112,available
Pantadrug-DSR Capsule,102,39,available
Worgel Oral Suspension,233,141,available
Zexorab D 30mg/20mg Capsule SR,75,243,available
Jotair LA 10 mg/5 mg/200 mg Tablet SR,150,198,available
Ecotel 20 Tablet,16,263,available
Sanocip 500mg Tablet,276,57,available
Besixime 200 Tablet DT,47,101,available
Ofloxa 400mg Tablet,199,53,available
Droxyzine 10mg Tablet,383,288,available
Moxikip CV Dry Syrup,125,252,available
Maks 250mg Injection,99,82,available
Starphenicol 500mg Capsule,414,284,available
Nalfy 10mg Injection,287,210,available
LF 250mg Tablet,55,157,available
Pental-D 10mg/40mg Tablet,302,106,available
Fivid Tablet,476,109,available
Flexicam 250 mg/50 mg/325 mg Tablet,369,5,limited
Hepa-R Syrup,104,51,available
Ginflox Oral Suspension,487,84,available
Omizolin 20 Capsule,173,159,available
Cufvay D Syrup,101,173,available
Mycosov PG 1500mcg/75mg Capsule SR,284,82,available
Tefixim 100mg Tablet DT,480,266,available
Actihair 5 Solution,190,263,available
Muco Asthasol Syrup,41,257,available
Gochol-A Capsule IR,242,164,available
Calio 500mg Tablet,375,1,limited
Fusiwal Ointment,280,283,available
Intradec 25mg Injection,20,253,available
AMLOSYL 5MG TABLET,157,287,available
Fuzinix Cream,361,235,available
Sneezy Tablet,185,130,available
Glimplus M 1 Tablet,346,240,available
Reclonac SP 100mg/325mg/15mg Tablet,41,39,available
Cepanex 50mg Dry Syrup,76,297,available
Nupan O 40mg/4mg Tablet,18,67,available
Zenora 200mg Tablet,484,138,available
Amlokos 5mg Tablet,431,284,available
Cardem 60mg Tablet,64,289,available
Dicfast-GM Tablet,57,252,available
Cefimox 200 LB Tablet,141,217,available
Noctoryl Syrup,302,15,limited
Hospilid 600mg Tablet,392,51,available
Diclodix S 50mg/10mg Tablet,65,71,available
Ventrox DS 500mg Tablet,22,87,available
Apriglim-MV 2 Tablet SR,432,128,available
Tervis 500 mg/125 mg Tablet,119,256,available
Otena Ear Drop,489,200,available
Edinase  -DS Tablet,500,106,available
Ibudol Plus 325 mg/37.5 mg Tablet,129,157,available
Nutraflam 100mg/10mg Tablet,75,16,limited
Bruflam 400mg/600mg Tablet,67,256,available
REVILIFE 100 MG TABLET,232,257,available
Fizicet 37.5mg/325mg Tablet,358,144,available
Cefizan 200mg Tablet,334,258,available
L Cave 5mg Tablet,61,86,available
Zezek 200mg Tablet DT,417,171,available
Atpram 20mg Tablet,114,163,available
Omnisafe 1000mg Injection,157,55,available
Paro 40mg Tablet,143,25,limited
Valowin 133.5mg/58mg Tablet,303,53,available
Astranal 5mg Tablet,405,17,limited
Echoslide TH 60mg/4mg Tablet,155,110,available
Javcid 20mg Capsule,358,216,available
Austril 27.5mcg Nasal Spray,135,216,available
Erirab 20mg Tablet,412,286,available
Nevcef 200 LB Tablet,483,162,available
S Vocita H Tablet,356,98,available
Amlonik 5mg Tablet,491,190,available
Amlozaar Tablet,69,269,available
Vomrax 2mg Injection,80,109,available
Albesan 400mg Tablet,358,22,limited
Sazopride 2mg Tablet,292,17,limited
Sazda D 30mg/40mg Capsule SR,466,88,available
Cadicitron 1.4gm/5ml Syrup,280,56,available
Vomhit 4mg Tablet,410,26,limited
Hairshine Ktz Soap,490,183,available
Pregaque NT Tablet,401,158,available
Mefentod Plus Oral Suspension,162,95,available
Bpace 10mg Tablet,276,215,available
Sodbic 500mg Tablet,342,128,available
Azindica 100mg/5ml Syrup,47,166,available
Tibikit Plus 450 mg/300 mg Tablet,401,34,available
Ultifen SP 100mg/325mg/10mg Tablet,448,46,available
Lomez 20mg Capsule,147,161,available
Biopod 200 Tablet DT,488,132,available
Ceficheck 250mg Injection,386,272,available
Tamic 500mg Tablet,475,77,available
Flazen Tablet,136,268,available
Zenkid 200mg Oral Suspension,267,283,available
Jpee 10mg Tablet,356,27,limited
Proplace 20 Tablet,470,176,available
Rabium 20 Tablet,192,99,available
Losa-H Tablet,10,293,available
Preega M 75 SR Tablet,68,263,available
Levolet 750mg Tablet,53,39,available
Zemef A 80mg/100mg Tablet,40,87,available
Hyvog 0.2mg Tablet,476,290,available
Galop FX 0.5mg/10mg Tablet,51,36,available
R Thoxy 150mg Tablet,135,164,available
Joseiz 100 Tablet,482,243,available
Ticin Suspension,262,263,available
Phamzine MT Oral Suspension,66,81,available
Digo 80mg Tablet,363,212,available
Exylin 250 Capsule,273,3,limited
Oramin 2mg Tablet,355,210,available
Outclav-LB 625 Tablet,368,85,available
Laspar 200mg Tablet,53,75,available
Locorab D 30mg/20mg Capsule SR,239,154,available
Lotan-A 50mg/5mg Tablet,487,236,available
Friscam 20mg Injection,61,119,available
Xpantoz 40 Tablet,332,192,available
Mahanac S Tablet,403,272,available
Juvigra 100 Tablet,321,190,available
Vozuca Activ 0.3 Tablet,78,119,available
Cuti-P 100mg/500mg Tablet,75,98,available
Retam 100mg Injection,333,202,available
Bitpan D 10mg/40mg Tablet,161,155,available
Tramic 500mg Tablet,186,77,available
Aceruth P 100mg/500mg Tablet,213,161,available
Elopin-AT 5mg/50mg Tablet,113,58,available
Dragazole 40 Tablet,97,100,available
Betasalic MF Ointment,143,283,available
Ofkey 200mg Tablet,372,55,available
Megazolid 100 Dry Syrup,71,100,available
Livolike 500mg Tablet,457,231,available
Deemax SP Tablet,179,231,available
Ziodic-K 50mg/500mg Tablet,91,241,available
Ometo-D Capsule,16,26,limited
Roswa 20mg Tablet,475,160,available
Mepara 650 Tablet,132,273,available
Ofder 50mg Suspension,261,184,available
Ketozox-OF Eye Drop,246,81,available
Febrinest 250mg/5ml Syrup,249,128,available
Salser 50mg Tablet,390,161,available
Vertamox DX 250mg/250mg Capsule,499,266,available
Abby 100mg Capsule,65,281,available
Amijoy 200 Tablet,62,205,available
Acloflam SP 100mg/325mg/15mg Tablet,175,162,available
Efcorlin 2.5mg Pellets,425,258,available
Rvpod 50mg Dry Syrup,220,243,available
Zutex-T 1000mg/125mg Injection,90,287,available
Inoxwell 90mg Tablet,409,193,available
Rabtic 20mg Tablet,296,223,available
Velnerve-M Tablet SR,101,143,available
Cefme CV Dry Syrup,269,226,available
Umbcord Gel,251,5,limited
Halodias DT 5 Tablet,461,253,available
Kufma Plus Cough Relief Syrup Litchi,416,62,available
Brick 500mg/25mg/5mg Tablet,398,173,available
Onin Oral Solution,228,178,available
Azisoft 250mg Tablet,296,248,available
Jacimox 500mg Capsule,152,197,available
S Zone 1000mg/500mg Injection,280,276,available
Cefous O 200mg/200mg Tablet,51,60,available
Trucef Dry Syrup,114,226,available
Octicef O 50mg Syrup,22,186,available
Formoxy 500mg Capsule,214,115,available
Teli R 40 mg/2.5 mg Tablet,496,272,available
Acnomycin 50 Capsule,417,185,available
Meporva 400 Tablet,67,195,available
Parabet 500 Tablet,336,88,available
Nexime 100 DT Tablet,268,56,available
Vomivib Syrup,421,257,available
Declone 25 Injection,434,118,available
Alexin 250mg Capsule,162,22,limited
Temmy 80mg Tablet,71,248,available
Fenacare 120mg Tablet,285,221,available
Bactosar Forte 250mg/125mg Injection,466,26,limited
Fabikind 800mg Tablet,48,112,available
Supraxime-OX Tablet,421,294,available
Corcetam 200mg Injection,214,293,available
Punch D 10mg/40mg Tablet,65,56,available
Panton 40mg Tablet,473,188,available
